Symbol,Description,Asset_Type
MSI,Motorola Solutions,Stock
MS-I,Morgan Stanley,Stock
MS-K,Morgan Stanley Dep Shs Repstg 1/1000Th Sh Non-Cu,Stock
MSL,Midsouth Bancorp,Stock
MSM,Msc Industrial Direct Company,Stock
MSON,Misonix Inc,Stock
MSP,Madison Strategic Sector Premium Fund,Stock
MSTR,Microstrategy Cl A,Stock
MT,Arcelormittal,Stock
MTB,M&T Bank Corp,Stock
MTB.P,M&T Bank Corporation Fixed Rate,Stock
MTB.W,M&T Bank Corporation Warrants,Stock
MTBC,Medical Transc Bl,Stock
MTB-C,M&T Bank Corporation Fixed Rate,Stock
MTBCP,Mtbc 11% Sr A Prf ST,Stock
MTCH,Match Group Inc CS,Stock
MTD,Mettler-Toledo International,Stock
MTDR,Matador Resources Company,Stock
MTEC,Mtech Acquisition Corp. Class A,Stock
MTECU,Mtech Acquisition Corp. Unit,Stock
MTECW,Mtech Acquisition Corp. Warrant,Stock
MTEM,Molecular Templates Inc,Stock
MTEX,Mannatech Inc,Stock
MTFB,Motif Bio Plc,Stock
MTFBW,Motif Bio Plc Warrants To Purchase Adrs,Stock
MTG,Mgic Investment Corp,Stock
MTGE,American Cap Mtg Inv,Stock
MTGEP,Amrcn Cap Mt Sr A PS,Stock
MTH,Meritage Corp,Stock
MTL,Mechel Oao,Stock
MTL.P,Mechel Steel Group Oao American,Stock
MTLS,Materialise Nv Ads,Stock
MTN,Vail Resorts,Stock
MTOR,Meritor Inc.,Stock
MTP,Midatech Pharma Ads,Stock
MTR,Mesa Royalty Trust,Stock
MTRN,Materion Corp,Stock
MTRX,Matrix Service Co,Stock
MTSC,M T S Systems Cp,Stock
MTSI,Macom Technology S,Stock
MTSL,Mer Telemanagement Solutions Ltd,Stock
MTT,Western Asset Muni Defined Opportunity Trust Inc,Stock
MTU,Mitsubishi Ufj Financial Group Inc,Stock
MTW,Manitowoc Company,Stock
MTX,Minerals Technologies Inc,Stock
MTZ,Mastec Inc,Stock
MU,Micron Technology,Stock
MUA,Blackrock Muniassets Fund,Stock
MUC,Blackrock Muniholdings California Quality Fund,Stock
MUDS,Mudrick Capital Acquisition Corporation Class A,Stock
MUDSU,Mudrick Capital Acquisition Corporation Unit,Stock
MUDSW,Mudrick Capital Acquisition Corporation Warrant,Stock
MUE,Blackrock Muniholdings Quality Fund II,Stock
MUH,Blackrock Muniholdings Fund II,Stock
MUI,Blackrock Muni Intermediate Duration Fund Inc,Stock
MUJ,Blackrock Muniholdings New Jersey Insured Fund,Stock
MULE,Mulesoft Inc Class A,Stock
MUR,Murphy Oil Corp,Stock
MUS,Blackrock Muniholdings Quality Fund,Stock
MUSA,Murphy USA Inc,Stock
MUX,Mcewen Mining Inc,Stock
MVBF,Mvb Financial Corp,Stock
MVC,MVC Capital,Stock
MVCD,MVC Capital Inc 6.25% Senior Notes Due 2022,Stock
MVIS,Microvision,Stock
MVO,Mv Oil Trust,Stock
MVT,Blackrock Munivest Fund II,Stock
MWA,Mueller Water Products,Stock
MX,Magnachip Semiconductor Corp,Stock
MXE,Mexico Equity and,Stock
MXF,Mexico Fund,Stock
MXIM,Maxim Integrated,Stock
MXL,Maxlinear Inc,Stock
MXWL,Maxwell Technologies,Stock
MYC,Blackrock Muniyield California Fund,Stock
MYD,Blackrock Muniyield Fund,Stock
MYE,Myers Industries,Stock
MYF,Blackrock Muniyield Investment Fund,Stock
MYGN,Myriad Genetics Inc,Stock
MYI,Blackrock Muniyield Quality Fund III,Stock
MYJ,Blackrock Muniyield New Jersey Fund,Stock
MYL,Mylan Nv Ord Shs,Stock
MYN,Blackrock Muniyield New York Quality Fund,Stock
MYND,Mynd Analytics Inc,Stock
MYNDW,Mynd Analytics Inc Warrant,Stock
MYOK,Myokardia Inc Cm ST,Stock
MYOS,Myos Rens Tech,Stock
MYOV,Myovant Sciences Ltd,Stock
MYRG,MYR Group Inc,Stock
MYSZ,My Size Inc,Stock
MZF,Managed Duration Investment Grade Fund,Stock
MZOR,Mazor Robotics Ads,Stock
NAC,Nuveen California Divadv Fund,Stock
NAD,Nuveen Divadv Fund,Stock
NAII,Natural Alternativ,Stock
NAKD,Naked Brand Group CS,Stock
NAN,Nuveen New York Divadv Fund,Stock
NANO,Nanometrics Inc,Stock
NAO,Nordic American Offshore Ltd,Stock
NAOV,Nanovibronix Inc,Stock
NAP,Navios Maritime Midstream Partn,Stock
NAT,Nordic American Tanker Shipping Ltd,Stock
NATH,Nathan's Famous In,Stock
NATI,Natl Instruments Cor,Stock
NATR,Nature S Sunshine,Stock
NAUH,National American Un,Stock
NAV,Navistar International Corp,Stock
NAV-D,Navistar Intl Pfd D,Stock
NAVG,Navigators Grp Inc,Stock
NAVI,Navient Cp,Stock
NAZ,Nuveen Arizona Premium Fund,Stock
NBB,Nuveen Build America Bond Fund,Stock
NBD,Nuveen Build America Bond Opportunity Fund,Stock
NBEV,New Age Beverages Corp,Stock
NBHC,National Bank Holdings Corp,Stock
NBIX,Neurocrine Bioscienc,Stock
NBL,Noble Energy Inc,Stock
NBLX,Noble Midstream Partners LP,Stock
NBN,Northeast Bncp,Stock
NBR,Nabors Industries,Stock
NBRV,Nabriva Therape Ads,Stock
NBTB,NBT Bancorp Inc,Stock
NC,Nacco Industries,Stock
NCA,Nuveen California Muni Value Fund,Stock
NCB,Nuveen California Muni Value Fund 2,Stock
NCBS,Nicolet Bnkshr,Stock
NCI,Navigant Consulting,Stock
NCLH,Norwegian Cruise Ord,Stock
NCMI,National Cinemedia,Stock
NCNA,Nucana Plc ADR,Stock
NCOM,National Commerce,Stock
NCR,NCR Corp,Stock
NCS,NCI Building Systems,Stock
NCSM,Ncs Multistage Holdings Inc,Stock
NCTY,The9 Ltd,Stock
NCV,Agic Convertible &,Stock
NCZ,Agic Convertible & II,Stock
NDAQ,Nasdaq Inc,Stock
NDLS,Noodles & Co Cla,Stock
NDP,Tortoise Energy Independence F,Stock
NDRA,Endra Life Sciences Inc,Stock
NDRAW,Endra Life Sciences Inc Warrants,Stock
NDRO,Enduro Royalty Trust,Stock
NDSN,Nordson Corp,Stock
NE,Noble Corp,Stock
NEA,Nuveen Insured Tax-Free Advantage Fund,Stock
NEBUU,Nebula Acquisition Corporation Unit,Stock
NEE,Nextera Energy,Stock
NEE-I,Nextera Energy Capital Holding,Stock
NEE-J,Nextera Energy Capital Holding,Stock
NEE-K,Nextera Energy Inc Series K J,Stock
NEE-Q,Nextera Energy Inc Corporate,Stock
NEE-R,Nextera Energy Inc,Stock
NEM,Newmont Mining Corp,Stock
NEO,Neogenomics Inc,Stock
NEOG,Neogen Cp,Stock
NEON,Neonode Inc,Stock
NEOS,Neos Therapeutics,Stock
NEP,Nextera Energy Partners LP,Stock
NEPT,Neptune Tech,Stock
NERV,Minerva Neuroscie,Stock
NESR,National Energy Services Reunited Corp,Stock
NESRW,National Energy Services Reunited Corp WT,Stock
NETE,Net Element Inc,Stock
NETS,Netshoes [Cayman] Ltd,Stock
NEU,Newmarket Corp,Stock
NEV,Nuveen Enhanced Muni Value Fund,Stock
NEWA,Newater Technology Inc Ordinary Shares,Stock
NEWM,New Media Investment Group Inc,Stock
NEWR,New Relic Inc,Stock
NEWT,Newtek Bus Svcs,Stock
NEWTI,Newtek Business Services Corp. 6.25% Notes Due 2,Stock
NEWTL,Newtek Business 7%Nt,Stock
NEWTZ,Newtek 7.5% NTS 2022,Stock
NEXA,Nexa Resources S.A.,Stock
NEXT,Nextdecade Corp,Stock
NFBK,Northfield Bncrp Del,Stock
NFEC,NF Energy Saving Cor,Stock
NFG,National Fuel Gas Company,Stock
NFJ,Nfj Dividend Interest & Premium Strategy Fund,Stock
NFLX,Netflix Inc,Stock
NFX,Newfield Exploration Company,Stock
NGG,National Grid Transco Plc,Stock
NGHC,National General Hld,Stock
NGHCN,National General Holdings Corp,Stock
NGHCO,National Gnl Hld Ds,Stock
NGHCP,National Gen Srs A,Stock
NGHCZ,National Gen Sub NTS,Stock
NGL,Ngl Energy Partners LP,Stock
NGL-A,Targa Resources 9.00% Series A Perp,Stock
NGL-B,Ngl Energy Partners LP,Stock
NGS,Natural Gas Services Group,Stock
NGVC,Natural Grocers By Vitamin Cottage Inc,Stock
NGVT,Ingevity Corp,Stock
NH,Nanthealth Inc,Stock
NHA,Nuveen Municipal,Stock
NHF,Nexpoint Credit Strategies Fund,Stock
NHI,National Health Investors,Stock
NHLD,National Holdings,Stock
NHLDW,National Holdings Corporation Warrants,Stock
NHTC,Natural Hlth Trd,Stock
NI,NiSource Inc,Stock
NICE,Nice Ltd,Stock
NICK,Nicholas Fincl Inc,Stock
NID,Nuveen Intermediate Duration M,Stock
NIE,Agic Equity & Convertible,Stock
NIHD,NII Holdings,Stock
NIM,Nuveen Maturities Fund,Stock
NINE,Nine Energy Service Inc,Stock
NIQ,Nuveen Intermediate Duration Q,Stock
NITE,Nightstar Therapeutics Plc ADR,Stock
NJR,Newjersey Resources Corp,Stock
NJV,Nuveen New Jersey Muni Value Fund,Stock
NK,Nantkwest Inc CS,Stock
NKE,Nike Inc,Stock
NKG,Nuveen Georgia Divadv Fund 2,Stock
NKSH,Natl Bankshares Inc,Stock
NKTR,Nektar Therapeutics,Stock
NKX,Nuveen Insured California Tax-Free,Stock
NL,NL Industries,Stock
NLNK,Newlink Genetics Cor,Stock
NLS,Nautilus Group,Stock
NLSN,Nielsen Holdings Plc,Stock
NLST,Netlist Inc,Stock
NLY,Annaly Capital Management Inc,Stock
NLY-C,Annaly Capital Management Inc,Stock
NLY-D,Annaly Capital Management Inc,Stock
NLY-F,Annaly Capital Management Inc Pfd,Stock
NLY-G,Annaly Capital Management Inc Pfd,Stock
NM,Navios Maritime Holdings Inc,Stock
NMFC,New Mountain Finance Corporati,Stock
NM-G,Navios Maritime,Stock
NM-H,Navios Maritime Holdngs Inc,Stock
NMI,Nuveen Muni,Stock
NMIH,Nmi Holdings Cmn A,Stock
NMK-B,Niagara Mohawk Holdings Inc P,Stock
NMK-C,Niagara Mohawk 3.60,Stock
NMM,Navios Maritime Partners LP,Stock
NMR,Nomura Holdings Inc ADR,Stock
NMRD,Nemaura Med Inc,Stock
NMRK,Newmark Group Inc Class A,Stock
NMS,Nuveen Minnesota Municipal Inco,Stock
NMT,Nuveen Massachusetts Premium Fund,Stock
NMY,Nuveen Maryland Premium Fund,Stock
NMZ,Nuveen Muni High Income Opportunity,Stock
NNA,Navios Maritime Acquisition Corp,Stock
NNBR,NN Inc,Stock
NNC,Nuveen North Carolina Premium Fund,Stock
NNDM,Nano Dimension Ads,Stock
NNI,Nelnet Inc,Stock
NNN,National Retail Properties,Stock
NNN-E,National Retail Properties Depo,Stock
NNN-F,National Retail Properties Inc,Stock
NNY,Nuveen New York Muni Value Fund,Stock
NOA,North American Energy Partners,Stock
NOAH,Noah Holdings Ltd,Stock
NOC,Northrop Grumman Corp,Stock
NODK,Ni Holdings Inc,Stock
NOK,Nokia Corp,Stock
NOM,Nuveen Missouri Premium Fund,Stock
NOMD,Nomad Foods Limited Ordinary Sh,Stock
NOV,National-Oilwell,Stock
NOVN,Novan Inc,Stock
NOVT,Novanta Inc,Stock
NOW,Servicenow Inc,Stock
NP,Neenah Paper,Stock
NPK,National Presto Industries,Stock
NPN,Nuveen Pennsylvania Muni Value Fund,Stock
NPO,Enpro Industries,Stock
NPTN,Neophotonics Corp,Stock
NPV,Nuveen Virginia Premium Fund,Stock
NQ,Netqin Mobile Inc,Stock
NQP,Nuveen Pennsylvania Investment,Stock
NR,Newpark Resources,Stock
NRCIA,National Resh Cla,Stock
NRCIB,Natl Research Cl B,Stock
NRE,Northstar Realty Europe Corp C,Stock
NRG,NRG Energy,Stock
NRIM,Northrim Bancorp Inc,Stock
NRK,Nuveen Insured New York Tax-Free,Stock
NRP,Natural Resource Partners LP,Stock
NRT,North European Oil Royality Trust,Stock
NRZ,New Residential Investment Corp,Stock
NS,Nustar Energy LP,Stock
NSA,National Storage Affiliates Tru,Stock
NS-A,Nustar Energy LP Pref Share,Stock
NSA-A,National Storage Affiliates Trust Pfd Cum Red BE,Stock
NS-B,Nustar Energy LP Cum Red Perp Pfd Ser B Fixed To,Stock
NSC,Norfolk Southern Corp,Stock
NS-C,Nustar Energy LP Cum Red Perp Pfd Ser C,Stock
NSEC,Natl Security Gp I,Stock
NSH,Nustar Gp Holdings Llc,Stock
NSIT,Insight Enterpr,Stock
NSL,Nuveen Senior,Stock
NSM,Nationstar Mortgage Holdngs I,Stock
NSP,Insperity Inc,Stock
NSS,Nustar Logistics LP,Stock
NSSC,Napco Sec Tech Inc,Stock
NSTG,Nanostring Tech,Stock
NSYS,Nortech Systems In,Stock
NTAP,Netapp Inc,Stock
NTB,Bank of Butterfield Ltd,Stock
NTC,Nuveen Connecticut Premium Fund,Stock
NTCT,Netscout Systems I,Stock
NTEC,Intec Pharma Ord Shr,Stock
NTES,Netease Inc Ads,Stock
NTG,Tortoise MLP Fund,Stock
NTGR,Netgear Inc,Stock
NTIC,Northern Tech Inc,Stock
NTLA,Intellia Thera CS,Stock
NTNX,Nutanix Inc,Stock
NTP,Nam Tai Electronics,Stock
NTR,Nutrien Ltd,Stock
NTRA,Natera Inc,Stock
NTRI,Nutrisystem Inc,Stock
NTRP,Neurotrope Inc,Stock
NTRS,Northern Trust Corp,Stock
NTRSP,Northern TR Dep Shs,Stock
NTWK,Netsol Tech Inc,Stock
NTX,Nuveen Texas Quality,Stock
NTZ,Natuzzi S.P.A.,Stock
NUAN,Nuance Communicatns,Stock
NUE,Nucor Corp,Stock
NUM,Nuveen Michigan Quality,Stock
NUO,Nuveen Ohio Quality,Stock
NURO,Neurometrix Inc,Stock
NUROW,Neurometrix Inc WT,Stock
NUS,Nu Skin Enterprises,Stock
NUV,Nuveen Muni Value Fund,Stock
NUVA,Nuvasive Inc,Stock
NUW,Nuveen Muni Value Fund,Stock
NVAX,Novavax Inc,Stock
NVCN,Neovasc Inc,Stock
NVCR,Novocure Ltd Ord Sh,Stock
NVDA,Nvidia Corp,Stock
NVEC,Nve Corp,Stock
NVEE,Nv5 Global,Stock
NVFY,Nova Lifestyle Inc,Stock
NVG,Nuveen Insured Divadv Fund,Stock
NVGS,Navigator Holdings,Stock
NVIV,Invivo Theraptc,Stock
NVLN,Novelion Therapeutics Inc,Stock
NVMI,Nova Measuring Instr,Stock
NVMM,Novume Solutions Inc,Stock
NVO,Novo Nordisk A/S,Stock
NVR,NVR Inc,Stock
NVRO,Nevro Corp,Stock
NVS,Novartis Ag,Stock
NVTA,Invitae Corp,Stock
NVTR,Nuvectra Corp Cmn ST,Stock
NVUS,Novus Therapeutics Inc,Stock
NWBI,Northwest Bancshares,Stock
NWE,Northwestern Corp,Stock
NWFL,Norwood Financial Cp,Stock
NWHM,New Home Co Llc,Stock
NWL,Newell Rubbermaid Inc,Stock
NWLI,Natl Wstrn Life Gp A,Stock
NWN,Northwest Natural Gas Company,Stock
NWPX,Northwest Pipe Co,Stock
NWS,News Cp Cl B Cmn ST,Stock
NWSA,News Cp Cl A Cmn ST,Stock
NWY,New York & Company,Stock
NX,Quanex Building Products Corp,Stock
NXC,Nuveen California Tax-Free Income,Stock
NXEO,Nexeo Solutions Inc,Stock
NXEOU,Nexeo Solutions Inc,Stock
NXEOW,Nexeo Solutions Inc,Stock
NXJ,Nuveen New Jersey Divadv Fund,Stock
NXN,Nuveen Insured New York Tax-Free,Stock
NXP,Nuveen Tax Free Income Portfolio,Stock
NXPI,Nxp Semiconductors,Stock
NXQ,Nuveen Tax Free Income Portfolio II,Stock
NXR,Nuveen Tax Free Income Portfolio III,Stock
NXRT,Nexpoint Residential Trust Inc,Stock
NXST,Nexstar Broadcasting,Stock
NXTD,Nxt-Id Inc,Stock
NXTDW,Nxt-Id Inc Warrant,Stock
NXTM,Nxstage Medical Inc,Stock
NYC-A,New York Community Bancorp Inc,Stock
NYCB,New York Community Bancorp,Stock
NYC-U,New York Community Bancorp Inc,Stock
NYL.A,NRG Yield Inc Class A,Stock
NYLD,NRG Yield Inc,Stock
NYMT,New York Mtge Trust,Stock
NYMTN,New York Mortgage Trust Inc 8.00% Series D,Stock
NYMTO,New York Mort 7.875,Stock
NYMTP,New York Mrtg 7.75 B,Stock
NYMX,Nymox Pharm Corp,Stock
NYNY,Empire Resorts Inc,Stock
NYRT,New York REIT Inc,Stock
NYT,New York Times Company,Stock
NYV,Nuveen New York Muni Value Fund 2,Stock
NZF,Nuveen Divadv Fund 3,Stock
O,Realty Income Corp,Stock
OA,Orbital Atk Inc,Stock
OAK,Oaktree Capital Group Llc,Stock
OAK-A,Five Oaks Investment Corp 8.75,Stock
OAKS,Five Oaks Investment Corp,Stock
OAS,Oasis Petroleum Inc,Stock
OASM,Oasmia Pharmaceu Ads,Stock
OBAS,Optibase Ltd,Stock
OBCI,Ocean Bio Chem Inc,Stock
OBE,Obsidian Energy Ltd,Stock
OBLN,Obalon Therapeutics Inc,Stock
OBSV,Obseva Sa Ordinary Shares,Stock
OC,Owens Corning Inc,Stock
OCC,Optical Cable Corp,Stock
OCFC,Oceanfirst Finl Corp,Stock
OCIP,Oci Partners LP,Stock
OCLR,Oclaro Inc,Stock
OCN,Ocwen Financial Corp,Stock
OCSI,Oaktree Strategic Income Corp,Stock
OCSL,Oaktree Specialty Lending Corp,Stock
OCSLL,Oaktree Specialty Lending Corp 6.125 Sn,Stock
OCUL,Ocular Therapeut,Stock
ODC,Oil-Dri Corporation of America,Stock
ODFL,Old Dominion Freig,Stock
ODP,Office Depot,Stock
ODT,Odonate Therapeutics Inc,Stock
OEC,Orion Engineered Carbons S.A R,Stock
OESX,Orion Energy Syst,Stock
OFC,Corporate Office Properties,Stock
OFED,Oconee Fed Fin Corp,Stock
OFG,Oriental Financial Group,Stock
OFG-A,Oriental Fin Mips A,Stock
OFG-B,Oriental Finl Pfd B,Stock
OFG-D,Oriental Financial Group Inc,Stock
OFIX,Orthofix Intl Nv,Stock
OFLX,Omega Flex Inc,Stock
OFS,Ofs Capital Corporat,Stock
OGE,Oge Energy Corp,Stock
OGS,One Gas Inc,Stock
OHAI,Oha Investmnt Cp,Stock
OHGI,One Horizon Grp,Stock
OHI,Omega Healthcare Investors,Stock
OHRP,Ohr Pharmceutial,Stock
OI,Owens-Illinois,Stock
OIA,Invesco Muni Income Trust,Stock
OIB.C,Oi S.A.,Stock
OII,Oceaneering International,Stock
OIIM,O2Micro Intl Ltd,Stock
OIS,Oil States International,Stock
OKDCC,Eaton Vance Nextshares Trust II Eaton Vance Oakt,Stock
OKE,Oneok Inc,Stock
OKTA,Okta Inc Class A,Stock
OLBK,Old Line Bancshs MD,Stock
OLD,Long-Term Care ETF,Stock
OLED,Universal Display,Stock
OLLI,Ollies Bargain CS,Stock
OLN,Olin Corp,Stock
OLP,One Liberty Properties,Stock
OMA.U,One Madison Group,Stock
OMAA,Om Asset Management Plc,Stock
OMAB,Grupo Aeroportuario,Stock
OMAD,One Madison Corporation Class A,Stock
OMAM,Om Asset Management Ltd,Stock
OMC,Omnicom Group Inc,Stock
OMCL,Omnicell Inc,Stock
OMED,Oncomed Pharma,Stock
OMER,Omeros Corp,Stock
OMEX,Odyssey Marine Expl,Stock
OMF,Onemain Holdings Inc,Stock
OMI,Owens & Minor,Stock
OMN,Omnova Solutions Inc,Stock
OMNT,Ominto Inc,Stock
OMP,Oasis Midstream Partners LP,Stock
ON,On Semiconductor,Stock
ONB,Old National Bncp,Stock
ONCE,Spark Therap,Stock
ONCS,Oncosec Medical,Stock
ONDK,On Deck Capital Inc,Stock
ONEQ,Nasdaq Composite ETF,Stock
ONS,Oncobiologics Inc,Stock
ONSIW,Oncobiologics Inc,Stock
ONSIZ,Oncobiologics Inc,Stock
ONTX,Onconova Therapeutic,Stock
ONTXW,Onconova Therapeutics Inc,Stock
ONVO,Organovo Holdings,Stock
OOMA,Ooma Inc,Stock
OPB,Opus Bank,Stock
OPESU,Opes Acquisition Corp. Unit,Stock
OPGN,Opgen Inc,Stock
OPGNW,Opgen Inc Warrant,Stock
OPHC,Optimumbank Hldgs,Stock
OPHT,Ophthotech Corp,Stock
OPK,Opko Health Inc,Stock
OPNT,Opiant Pharmaceuticals Inc,Stock
OPOF,Old Point Finl Cp,Stock
OPP,Rivernorth/Doubleline Strategic Opportunity Fund,Stock
OPTN,Optinose Inc,Stock
OPTT,Ocean Power Tech Inc,Stock
OPY,Oppenheimer Holdings,Stock
OR,Osisko Gold Royalties Ltd,Stock
ORA,Ormat Technologies,Stock
ORAN,Orange ADR,Stock
ORBC,Orbcomm Inc,Stock
ORBK,Orbotech Ltd,Stock
ORC,Orchid Island Capital Inc,Stock
ORCL,Oracle Corp,Stock
OREX,Orexigen Therapeutic,Stock
ORG,Organics ETF,Stock
ORGS,Orgenesis Inc,Stock
ORI,Old Republic International Corp,Stock
ORIG,Ocean Rig Udw Inc,Stock
ORIT,Oritani Financial,Stock
ORLY,O'Reilly Automotive,Stock
ORMP,Oramed Pharma,Stock
ORN,Orion Group Holdings Inc,Stock
ORPN,Bioblast Pharma Ltd,Stock
ORRF,Orrstown Finl Svcs,Stock
OSB,Norbord Inc,Stock
OSBC,Old Second Bancorp,Stock
OSBCP,Old Second Bncp,Stock
OSG,Overseas Shipholding Group Inc,Stock
OSIS,O S I Systems Inc,Stock
OSK,Oshkosh Truck Corp,Stock
OSLE,Oaktree Specialty Lending Corp,Stock
OSN,Ossen Innovation Co,Stock
OSPR,Osprey Energy Acquisition Corp Class A,Stock
OSPRU,Osprey Energy Acquisition Corp Unit,Stock
OSPRW,Osprey Energy Acquisition Warrant,Stock
OSS,One Stop Systems Inc.,Stock
OSTK,Overstock.Com Inc,Stock
OSUR,Orasure Tech Inc,Stock
OTEL,Otelco Cl A,Stock
OTEX,Open Text Cp,Stock
OTIC,Otonomy Inc,Stock
OTIV,On Track Innovations,Stock
OTTR,Otter Tail Corp,Stock
OTTW,Ottawa Saving Bcp Il,Stock
OUT,Outfront Media Inc,Stock
OVAS,Ovascience,Stock
OVBC,Ohio Valley Banc Cp,Stock
OVID,Ovid Therapeutics Inc,Stock
OVLY,Oak Valley Bancp CA,Stock
OXBR,Oxbridge Ord Shrs,Stock
OXBRW,Oxbridge Warrants,Stock
OXFD,Oxford Immunotec,Stock
OXLC,Oxford Lane Capital,Stock
OXLCM,Oxford Lane Capital Corp Pfd Ser 2024,Stock
OXLCO,Oxford Lane Cap 7.5,Stock
OXM,Oxford Industries,Stock
OXY,Occidental Petroleum Corp,Stock
OZM,Och-Ziff Capital Management,Stock
OZRK,Bank of The Ozarks,Stock
P,Pandora Media Inc,Stock
PAA,Plains All American Pipeline LP,Stock
PAAS,Pan Amer Silver Corp,Stock
PAC,Grupo Aeroportuario Del Pacifico,Stock
PACB,Pacific Biosciences,Stock
PACW,Pacwest Bancorp,Stock
PAG,Penske Automotive Group,Stock
PAGG,Global Agriculture PS,Stock
PAGP,Plains Gp Holdings LP,Stock
PAGS,Pagseguro Digital Ltd. Class A,Stock
PAH,Platform Specialty Products Corp,Stock
PAHC,Phibro Anl Htlh A,Stock
PAI,Pacific American Income Shares,Stock
PAM,Pampa Energia S.A.,Stock
PANL,Pangaea Logistics So,Stock
PANW,Palo Alto Networks Inc,Stock
PAR,Par Technology Corp,Stock
PARR,Par Petroleum Corp,Stock
PATI,Patriot TR HD,Stock
PATK,Patrick Inds Inc,Stock
PAVM,Pavmed Inc,Stock
PAVMW,Pavmed Inc WT,Stock
PAY,Verifone Systems,Stock
PAYC,Paycom Software Inc,Stock
PAYX,Paychex Inc,Stock
PB,Prosperity Bancshares,Stock
PBA,Pembina Pipeline Cor,Stock
PBB,Prospect Capital Corp,Stock
PBBI,Pb Bancorp Inc,Stock
PBCT,People's United Finl,Stock
PBCTP,Peoples Utd Finl Inc,Stock
PBF,PBF Energy Inc,Stock
PBFX,PBF Logistics LP,Stock
PBH,Prestige Brand Holdings,Stock
PBHC,Pathfinder Bcp MD,Stock
PBI,Pitney Bowes Inc,Stock
PBIB,Porter Bancorp Inc,Stock
PBI-B,Pitney Bowes Inc .6.70% Notes,Stock
PBIP,Prudential Bancorp,Stock
PBPB,Potbelly Corp,Stock
PBR,Petroleo Brasileiro S.A. Petrobras,Stock
PBR.A,Petroleo Brasileiro S.A. Petrobras,Stock
PBSK,Poage Bankshares Inc,Stock
PBT,Permian Basin Royalty Trust,Stock
PBYI,Puma Biotechnology,Stock
PCAR,Paccar Inc,Stock
PCF,Putnam High Income Bond Fund,Stock
PCG,Pacific Gas & Electric Co,Stock
PCH,Potlatch Cp,Stock
PCI,Pimco Dynamic Credit Income Fun,Stock
PCK,Pimco California Muni II,Stock
PCLN,Priceline Group,Stock
PCM,Pimco Commercial Mortgage Securities,Stock
PCMI,PCM Inc,Stock
PCN,Pimco Corporate,Stock
PCOM,Points Intl Ltd,Stock
PCQ,Pimco California Muni,Stock
PCRX,Pacira Pharm Inc,Stock
PCSB,Pcsb Financial Corp,Stock
PCTI,Pc-Tel Inc,Stock
PCTY,Paylocity Hldng Corp,Stock
PCYG,Park City Group,Stock
PCYO,Pure Cycle Corp,Stock
PDBC,DB Optimum Yield Dvsd Commodity Strate PS,Stock
PDCE,Pdc Energy Inc,Stock
PDCO,Patterson Companies,Stock
PDEX,Pro-Dex Inc New,Stock
PDFS,Pdf Solutions Inc,Stock
PDI,Pimco Dynamic Income Fund,Stock
PDLB,Pdl Community Bancorp,Stock
PDLI,Pdl Biopharma Inc,Stock
PDM,Piedmont Office Realty Trust,Stock
PDP,DWA Momentum Portfolio PS,Stock
PDS,Precision Drilling Corp,Stock
PDT,John Hancock Premium Dividend Fund,Stock
PDVW,Pdvwireless,Stock
PE,Parsley Energy,Stock
PEB,Pebblebrook Hotel Trust,Stock
PEB-C,Pebblebrook Hotel Trust,Stock
PEB-D,Pebblebrook Hotel Trust,Stock
PEBK,Peoples Bancorp Nc,Stock
PEBO,Peoples Bancorp Inc,Stock
PEG,Public Service Enterprise Group Inc,Stock
PEGA,Pegasystems Inc,Stock
PEGI,Pattern Energy Cl A,Stock
PEI,Pennsylvania Real Estate Investment,Stock
PEI-B,Pennsylvania Real Estate Inves,Stock
PEI-C,Pennsylvania Real Estate Investment Trust Red Pe,Stock
PEI-D,Pennsylvania Real Estate Investment Trust Pfd,Stock
PEIX,Pacific Ethanol Inc,Stock
PEN,Penumbra Inc,Stock
PENN,Penn Natl Gaming Inc,Stock
PEO,Adams Natural Resources Fund Inc.,Stock
PEP,Pepsico Inc,Stock
PER,Sandridge Permian Trust,Stock
PERI,Perion Network Ltd,Stock
PERY,Perry Ellis Int,Stock
PES,Pioneer Energy Services Corp,Stock
PESI,Perma-Fix Envir,Stock
PETQ,Petiq Inc Class A,Stock
PETS,Petmed Express Inc,Stock
PETX,Aratana Theraptcs,Stock
PETZ,Tdh Holdings Inc Common Shares,Stock
PEY,High Yld Eqty Div Achievers Powershares,Stock
PEZ,Dynamic Consumer Disc Powershares,Stock
PF,Pinnacle Foods Inc,Stock
PFBC,Preferred Bank La,Stock
PFBI,Premier Finl Bncp,Stock
PFD,Flaherty & Crumrine Preferred Inc,Stock
PFE,Pfizer Inc,Stock
PFF,S&P US Preferred Stock Ishares,Stock
PFG,Principal Financial Group Inc,Stock
PFGC,Performance Food Group Co,Stock
PFH,Cabco TR Jcp 7.625,Stock
PFI,Dynamic Financials Powershares,Stock
PFIE,Profire Energy,Stock
PFIN,P F Inds Inc A,Stock
PFIS,Peoples Finl Svcs Co,Stock
PFK,Prudential Financial Inflation-Linked,Stock
PFL,Pimco Income Strategy Fund,Stock
PFLT,Pennantpark Fltng Rt,Stock
PFM,Dividend Achievers Powershares,Stock
PFMT,Performant Financial,Stock
PFN,Pimco Income Strategy Fund II,Stock
